C2,22.5,0,1
Cz,0,0,1
C1,-22.5,0,1
C3,-45,0,1
CP2,30,-45,0
CPz,22.5,-90,1
CP1,-30,45,1
CP3,-47,28,1
TP9,-113,17,1
O1,-90,72,1
P7,-90,36,1
C5,-67.5,0,1
Fp1,-90,-72,1
F7,-90,-36,1
FC3,-47,-28,1
T7,-90,0,1
CP6,67,-20,1
C4,45,0,1
C6,67.5,0,1
T8,90,0,1
F8,90,36,1
Fp2,90,72,1
FC6,67,20,1
AFz,67.5,90,1
FC1,-30,-45,1
FCz,22.5,90,1
FC4,47,28,1
FC2,30,45,1
CP4,47,-28,1
TP10,113,-17,1
O2,90,-72,1
P8,90,-36,1
